# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-19.1372187, -0.0438034, 4.9564496, 5.0435504, 0.0090165, -0.9999594, 2.3501774, 0.0000000, -1.1910824, -0.0153365, 12.6214692, 5.2044191
-18.8354078, -0.0411166, 4.9587774, 5.0412226, 0.0087872, -0.9999614, 2.2338203, 0.3229847, -1.1963155, -0.0117696, 12.7853200, 5.2019214
-18.5336457, -0.0384992, 4.9613492, 5.0386508, 0.0085603, -0.9999634, 2.1187665, 0.6454856, -1.1987297, -0.0123739, 12.8664338, 5.2006729
-18.2319319, -0.0359503, 4.9639211, 5.0360789, 0.0083357, -0.9999653, 2.0050079, 0.9675099, -1.2036729, -0.0122187, 13.0270888, 5.1981770
-17.9302657, -0.0334692, 4.9664546, 5.0335454, 0.0081135, -0.9999671, 1.8925365, 1.2890646, -1.2061196, -0.0122451, 13.1066493, 5.1969294
-17.6286468, -0.0310551, 4.9688021, 5.0311979, 0.0078936, -0.9999688, 1.7813445, 1.6101567, -1.2110137, -0.0122091, 13.2642824, 5.1944353
-17.3270744, -0.0287074, 4.9711496, 5.0288504, 0.0076761, -0.9999705, 1.6714238, 1.9307932, -1.2158908, -0.0121748, 13.4199897, 5.1919423
-17.0255481, -0.0264253, 4.9734971, 5.0265029, 0.0074610, -0.9999722, 1.5627665, 2.2509809, -1.2183236, -0.0121542, 13.4971420, 5.1906963
-16.7240674, -0.0242080, 4.9757303, 5.0242697, 0.0072483, -0.9999737, 1.4553649, 2.5707266, -1.2231769, -0.0121138, 13.6500838, 5.1882051
-16.4226316, -0.0220549, 4.9778226, 5.0221774, 0.0070379, -0.9999752, 1.3492109, 2.8900371, -1.2255978, -0.0120929, 13.7258884, 5.1869600
-16.1212403, -0.0199650, 4.9799148, 5.0200852, 0.0068299, -0.9999767, 1.2442968, 3.2089189, -1.2304259, -0.0120503, 13.8762015, 5.1844706
-15.8198929, -0.0179379, 4.9820070, 5.0179930, 0.0066243, -0.9999781, 1.1406148, 3.5273789, -1.2352375, -0.0120063, 14.0248327, 5.1819824
-15.5185889, -0.0159726, 4.9839399, 5.0160601, 0.0064211, -0.9999794, 1.0381570, 3.8454234, -1.2376363, -0.0119837, 14.0985343, 5.1807388
-15.2173277, -0.0140684, 4.9858121, 5.0141879, 0.0062203, -0.9999807, 0.9369157, 4.1630590, -1.2424205, -0.0119376, 14.2447411, 5.1782524
-14.9161088, -0.0122247, 4.9876843, 5.0123157, 0.0060218, -0.9999819, 0.8368832, 4.4802921, -1.2448058, -0.0119141, 14.3172586, 5.1770097
-14.6149317, -0.0104406, 4.9895565, 5.0104435, 0.0058258, -0.9999830, 0.7380516, 4.7971290, -1.2495613, -0.0118660, 14.4611511, 5.1745251
-14.3137958, -0.0087154, 4.9911962, 5.0088038, 0.0056321, -0.9999841, 0.6404134, 5.1135761, -1.2542981, -0.0118165, 14.6035578, 5.1720417
-14.0127005, -0.0070484, 4.9928334, 5.0071666, 0.0054408, -0.9999852, 0.5439609, 5.4296396, -1.2566586, -0.0117913, 14.6742175, 5.1708004
-13.7116454, -0.0054389, 4.9944706, 5.0055294, 0.0052520, -0.9999862, 0.4486863, 5.7453257, -1.2613648, -0.0117398, 14.8144757, 5.1683188
-13.4106299, -0.0038861, 4.9960591, 5.0039409, 0.0050655, -0.9999872, 0.3545820, 6.0606404, -1.2637101, -0.0117136, 14.8840841, 5.1670784
-13.1096534, -0.0023893, 4.9975054, 5.0024946, 0.0048814, -0.9999881, 0.2616405, 6.3755899, -1.2683846, -0.0116601, 15.0222839, 5.1645986
-12.8087154, -0.0009476, 4.9989516, 5.0010484, 0.0046997, -0.9999890, 0.1698541, 6.6901801, -1.2707141, -0.0116329, 15.0908845, 5.1633591
-12.5078154, 0.0004395, 5.0003979, 4.9996021, 0.0045205, -0.9999898, 0.0792153, 7.0044169, -1.2753557, -0.0115775, 15.2271098, 5.1608811
