x,y,z,v_opt,s_opt
-19.1180936,-2.1648294,0,12.8821724,0
-18.9322044,-2.0910071,0,12.9626501,0.200011316
-18.746126,-2.0177011,0,13.0426121,0.400008668
-18.5599006,-1.9448844,0,13.1220678,0.599964091
-18.3734397,-1.872539,0,13.2010264,0.799967902
-18.1868493,-1.8007078,0,13.2794967,0.999907139
-18.0000117,-1.7293405,0,13.3574875,1.19991109
-17.8130092,-1.6584686,0,13.4350069,1.399892992
-17.6258719,-1.588103,0,13.5120631,1.599822196
-17.4384602,-1.51819,0,13.5886641,1.799849626
-17.2509317,-1.4487877,0,13.6648175,1.999808666
-17.0632154,-1.3798686,0,13.7405306,2.199776793
-16.8752883,-1.3114236,0,13.8158109,2.399780075
-16.6872461,-1.2434864,0,13.8906652,2.599718396
-16.4989679,-1.1760123,0,13.9651005,2.799721983
-16.3105372,-1.1090305,0,14.0391235,2.999703707
-16.1219824,-1.0425496,0,14.1127405,3.199635252
-15.9331704,-0.976522,0,14.185958,3.399659289
-15.7442479,-0.9109979,0,14.2587821,3.599622082
-15.5551574,-0.8459562,0,14.3312188,3.799586179
-15.3658638,-0.7813837,0,14.403274,3.999590366
-15.1764617,-0.7173116,0,14.4749533,4.199536332
-14.9868525,-0.6537055,0,14.5462624,4.399529794
-14.7970893,-0.590582,0,14.6172066,4.599516414
-14.6072198,-0.5279557,0,14.6877912,4.799447604
-14.4171087,-0.4657808,0,14.7580214,4.999467474
-14.2268882,-0.4040997,0,14.8279023,5.199438464
-14.0365315,-0.342902,0,14.8974387,5.399390537
-13.8459671,-0.2821639,0,14.9666354,5.599400305
-13.6553016,-0.2219179,0,15.0354972,5.799357584
-13.4644681,-0.1621416,0,15.1040287,5.99933416
-13.2734688,-0.1028345,0,15.1722343,6.199329322
-13.0823707,-0.0440161,0,15.2401183,6.399274534
-12.8910768,0.0143449,0,15.3076852,6.59927294
-12.6996549,0.0722289,0,15.374939,6.799255193
-12.5081365,0.129628,0,15.4418839,6.999190068
-12.3163982,0.1865804,0,15.5085238,7.199207946
-12.1245661,0.2430499,0,15.5748628,7.399178841
-11.9326118,0.2990464,0,15.6409045,7.599133989
-11.740473,0.3545894,0,15.7066528,7.799139848
-11.5482431,0.4096534,0,15.7721114,7.99910079
-11.3558683,0.4642551,0,15.8372838,8.199074312
-11.1633416,0.5183981,0,15.9021735,8.399069298
-10.9707262,0.5720661,0,15.9667841,8.599021659
-10.7779465,0.6252815,0,16.0311188,8.799011387
-10.5850441,0.6780343,0,16.0951811,8.998996872
-10.3920556,0.7303162,0,16.1589741,9.198941759
-10.198886,0.7821544,0,16.222501,9.398945993
-10.0056202,0.8335274,0,16.285765,9.598923128
-9.8122628,0.8844359,0,16.348769,9.79887002
-9.6187264,0.9349042,0,16.4115162,9.998878488
-9.4251095,0.9849083,0,16.4740094,10.19884827
-9.2313847,1.0344569,0,16.5362515,10.39880917
-9.0375068,1.0835631,0,16.5982454,10.59880932
-8.8435509,1.1322095,0,16.6599937,10.79877272
-8.6494733,1.1804088,0,16.7214994,10.99874594
-8.4552658,1.2281645,0,16.7827649,11.19873884
-8.2609828,1.2754651,0,16.843793,11.39869691
-8.0665667,1.3223262,0,16.9045862,11.59868087
-7.8720415,1.3687436,0,16.965147,11.79866744
-7.6774434,1.4147106,0,17.025478,11.9986209
-7.4827026,1.4602452,0,17.0855815,12.19861435
-7.2878716,1.5053369,0,17.14546,12.39859529
-7.0929701,1.5499829,0,17.2051158,12.59854494
-6.8979183,1.5942033,0,17.2645513,12.79854656
-6.702793,1.6379823,0,17.3237686,12.99852277
-6.5075933,1.681322,0,17.3827701,13.19847589
-6.3122504,1.7242395,0,17.4415578,13.39847779
-6.1168423,1.7667192,0,17.5001341,13.59844992
-5.9213516,1.808767,0,17.558501,13.79841149
-5.7257348,1.850394,0,17.6166605,13.99840834
-5.5300554,1.8915884,0,17.6746148,14.19837685
-5.3342865,1.9323578,0,17.7323658,14.39834587
-5.138407,1.9727085,0,17.7899156,14.59833826
-4.9424673,2.0126318,0,17.8472661,14.79830385
-4.7464329,2.0521369,0,17.9044191,14.99827919
-4.5503016,2.0912259,0,17.9613767,15.19826779
-4.3541126,2.129893,0,18.0181406,15.39823095
-4.1578249,2.1681482,0,18.0747126,15.59821176
-3.9614527,2.2059906,0,18.1310947,15.79819698
-3.7650252,2.2434165,0,18.1872885,15.99815812
-3.568496,2.2804368,0,18.2432957,16.1981437
-3.3718935,2.3170479,0,18.2991182,16.39812598
-3.175238,2.3532482,0,18.3547576,16.5980856
-2.978479,2.3890489,0,18.4102155,16.79807508
-2.7816565,2.4244446,0,18.4654936,16.99805496
-2.5847835,2.4594351,0,18.5205936,17.19801324
-2.3878059,2.494032,0,18.5755169,17.39800604
-2.1907736,2.5282284,0,18.6302652,17.59798384
-1.9936932,2.5620254,0,18.68484,17.79794114
-1.7965079,2.5954346,0,18.7392428,17.99793669
-1.5992758,2.6284482,0,18.7934751,18.19791268
-1.4019941,2.6610689,0,18.8475384,18.39787313
-1.2046155,2.6933064,0,18.9014342,18.59786705
-1.0071933,2.7251541,0,18.9551638,18.79784155
-0.8097197,2.7566155,0,19.0087288,18.99780565
-0.6121583,2.7876982,0,19.0621304,19.19779725
-0.4145554,2.8183972,0,19.1153701,19.39777059
-0.2169001,2.8487162,0,19.1684492,19.59773773
-0.0191651,2.8786616,0,19.221369,19.79772738
0.1786091,2.9082293,0,19.2741309,19.99769958
0.3764364,2.9374236,0,19.3267361,20.19766945
0.5743359,2.9662493,0,19.3791859,20.39765728
0.7722727,2.9947036,0,19.4314817,20.59762884
0.9702624,3.0227908,0,19.4836246,20.79760087
1.1683177,3.0505149,0,19.5356158,20.99758719
1.3664082,3.0778738,0,19.5874566,21.19755807
1.5645512,3.1048721,0,19.6391482,21.39753196
1.7627538,3.1315129,0,19.6906918,21.59751697
1.9609897,3.1577949,0,19.7420884,21.79748751
2.1592772,3.1837227,0,19.7933393,21.99746296
2.3576189,3.2092987,0,19.8444456,22.19744687
2.5559919,3.2345224,0,19.8954084,22.39741707
2.7544154,3.2593983,0,19.9462288,22.59739381
2.9528881,3.2839284,0,19.9969078,22.79737665
3.1513903,3.3081127,0,20,22.99734666
3.3499417,3.3319556,0,20,23.19732451
3.5485377,3.3554589,0,20,23.39730645
3.7471615,3.3786229,0,20,23.59727641
3.9458328,3.4014521,0,20,23.79725506
4.1445448,3.423948,0,20,23.99723637
4.3432827,3.4461111,0,20,24.19720626
4.5420664,3.467946,0,20,24.39718556
4.7408871,3.4894539,0,20,24.59716621
4.9397321,3.5106358,0,20,24.79713623
5.138621,3.531496,0,20,24.99711608
5.3375434,3.5520357,0,20,25.19709608
5.5364887,3.5722561,0,20,25.39706632
5.7354757,3.5921615,0,20,25.59704645
5.9344933,3.611753,0,20,25.79702603
6.1335322,3.6310321,0,20,25.99699644
6.3326107,3.6500028,0,20,26.19697678
6.5317171,3.6686662,0,20,26.39695599
6.7308433,3.6870241,0,20,26.59692662
6.930007,3.7050803,0,20,26.79690714
7.129196,3.722836,0,20,26.99688594
7.3284035,3.7402931,0,20,27.19685689
7.5276462,3.7574553,0,20,27.39683737
7.7269121,3.7743238,0,20,27.59681598
7.9261951,3.7909007,0,20,27.79678725
8.1255111,3.8071894,0,20,27.99676772
8.3248481,3.8231915,0,20,28.19674599
8.5242011,3.8389088,0,20,28.39671762
8.7235848,3.8543449,0,20,28.59669795
8.9229878,3.8695013,0,20,28.79667613
9.1224054,3.88438,0,20,28.99664802
9.3218516,3.8989844,0,20,29.1966282
